_id,Year_Month,Route,Card Type,Trip
1240,2024-12,F3 Parramatta River,Child/Youth,14080
1241,2024-12,F3 Parramatta River,Concession,3299
1242,2024-12,F3 Parramatta River,Day Pass Child/Youth w/o SAF,8
1243,2024-12,F3 Parramatta River,Day Pass without SAF,6
1244,2024-12,F3 Parramatta River,Employee,951
1245,2024-12,F3 Parramatta River,Free Travel,270
1246,2024-12,F3 Parramatta River,School Student,1390
1247,2024-12,F3 Parramatta River,Senior/Pensioner,32048
1248,2024-12,F3 Parramatta River,Sgl Trip Ferry Adult,6954
1249,2024-12,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2374
1250,2024-12,F4 Pyrmont Bay,Adult,62893
1251,2024-12,F4 Pyrmont Bay,CTP,138606
1252,2024-12,F4 Pyrmont Bay,Child/Youth,21936
1253,2024-12,F4 Pyrmont Bay,Concession,3302
1254,2024-12,F4 Pyrmont Bay,Day Pass Child/Youth w/o SAF,14
1255,2024-12,F4 Pyrmont Bay,Day Pass without SAF,4
1256,2024-12,F4 Pyrmont Bay,Employee,756
1257,2024-12,F4 Pyrmont Bay,Free Travel,244
1258,2024-12,F4 Pyrmont Bay,School Student,1233
1259,2024-12,F4 Pyrmont Bay,Senior/Pensioner,27242
1260,2024-12,F4 Pyrmont Bay,Sgl Trip Ferry Adult,5716
1261,2024-12,F4 Pyrmont Bay,Sgl Trip Ferry Child/Youth,3948
1262,2024-12,F5 Neutral Bay,Adult,11286
1263,2024-12,F5 Neutral Bay,CTP,27310
1264,2024-12,F5 Neutral Bay,Child/Youth,1452
1265,2024-12,F5 Neutral Bay,Concession,770
1266,2024-12,F5 Neutral Bay,Day Pass without SAF,0
1267,2024-12,F5 Neutral Bay,Employee,160
1268,2024-12,F5 Neutral Bay,Free Travel,64
1269,2024-12,F5 Neutral Bay,School Student,148
1270,2024-12,F5 Neutral Bay,Senior/Pensioner,8743
1271,2024-12,F5 Neutral Bay,Sgl Trip Ferry Adult,484
1272,2024-12,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,286
1273,2024-12,F6 Mosman Bay,Adult,13935
1274,2024-12,F6 Mosman Bay,CTP,31759
1275,2024-12,F6 Mosman Bay,Child/Youth,2322
1276,2024-12,F6 Mosman Bay,Concession,1051
1277,2024-12,F6 Mosman Bay,Day Pass without SAF,0
1278,2024-12,F6 Mosman Bay,Employee,199
1279,2024-12,F6 Mosman Bay,Free Travel,83
1280,2024-12,F6 Mosman Bay,School Student,179
1281,2024-12,F6 Mosman Bay,Senior/Pensioner,10627
1282,2024-12,F6 Mosman Bay,Sgl Trip Ferry Adult,801
1283,2024-12,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,541
1284,2024-12,F6 Mosman Bay,UNKNOWN,2
1285,2024-12,F7 Double Bay,Adult,4003
1286,2024-12,F7 Double Bay,CTP,13804
1287,2024-12,F7 Double Bay,Child/Youth,744
1288,2024-12,F7 Double Bay,Concession,166
1289,2024-12,F7 Double Bay,Day Pass without SAF,0
1290,2024-12,F7 Double Bay,Employee,27
1291,2024-12,F7 Double Bay,Free Travel,19
1292,2024-12,F7 Double Bay,School Student,54
1293,2024-12,F7 Double Bay,Senior/Pensioner,3418
1294,2024-12,F7 Double Bay,Sgl Trip Ferry Adult,147
1295,2024-12,F7 Double Bay,Sgl Trip Ferry Child/Youth,72
1296,2024-12,F8 Cockatoo Island,Adult,10236
1297,2024-12,F8 Cockatoo Island,CTP,21514
1298,2024-12,F8 Cockatoo Island,Child/Youth,3606
1299,2024-12,F8 Cockatoo Island,Concession,700
1300,2024-12,F8 Cockatoo Island,Day Pass Child/Youth w/o SAF,4
1301,2024-12,F8 Cockatoo Island,Day Pass without SAF,2
1302,2024-12,F8 Cockatoo Island,Employee,149
1303,2024-12,F8 Cockatoo Island,Free Travel,70
1304,2024-12,F8 Cockatoo Island,School Student,308
1305,2024-12,F8 Cockatoo Island,Senior/Pensioner,7108
1306,2024-12,F8 Cockatoo Island,Sgl Trip Ferry Adult,514
1307,2024-12,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,293
1308,2024-12,F9 Watsons Bay,Adult,41168
1309,2024-12,F9 Watsons Bay,CTP,101822
1310,2024-12,F9 Watsons Bay,Child/Youth,8310
1311,2024-12,F9 Watsons Bay,Concession,1893
1312,2024-12,F9 Watsons Bay,Day Pass Child/Youth w/o SAF,11
1313,2024-12,F9 Watsons Bay,Day Pass without SAF,3
1314,2024-12,F9 Watsons Bay,Employee,335
1315,2024-12,F9 Watsons Bay,Free Travel,121
1316,2024-12,F9 Watsons Bay,School Student,394
1317,2024-12,F9 Watsons Bay,Senior/Pensioner,19365
1318,2024-12,F9 Watsons Bay,Sgl Trip Ferry Adult,1875
1319,2024-12,F9 Watsons Bay,Sgl Trip Ferry Child/Youth,949
1320,2025-01,118F Newcastle,Adult,7206
1321,2025-01,118F Newcastle,CTP,16660
1322,2025-01,118F Newcastle,Child/Youth,3035
1323,2025-01,118F Newcastle,Concession,417
1324,2025-01,118F Newcastle,Employee,276
1325,2025-01,118F Newcastle,Free Travel,297
1326,2025-01,118F Newcastle,Senior/Pensioner,9958
1327,2025-01,F1 Manly,Adult,180515
1328,2025-01,F1 Manly,CTP,416853
1329,2025-01,F1 Manly,Child/Youth,61181
1330,2025-01,F1 Manly,Concession,8707
1331,2025-01,F1 Manly,Day Pass without SAF,16
1332,2025-01,F1 Manly,Employee,2390
1333,2025-01,F1 Manly,Free Travel,721
1334,2025-01,F1 Manly,School Student,75
1335,2025-01,F1 Manly,Senior/Pensioner,71738
1336,2025-01,F1 Manly,Sgl Trip Ferry Adult,15192
1337,2025-01,F1 Manly,Sgl Trip Ferry Child/Youth,11089
1338,2025-01,F1 Manly,UNKNOWN,4
1339,2025-01,F2 Taronga Zoo,Adult,36760
1340,2025-01,F2 Taronga Zoo,CTP,76806
1341,2025-01,F2 Taronga Zoo,Child/Youth,17835
1342,2025-01,F2 Taronga Zoo,Concession,1334
1343,2025-01,F2 Taronga Zoo,Day Pass without SAF,2
1344,2025-01,F2 Taronga Zoo,Employee,313
1345,2025-01,F2 Taronga Zoo,Free Travel,86
1346,2025-01,F2 Taronga Zoo,School Student,13
1347,2025-01,F2 Taronga Zoo,Senior/Pensioner,8626
1348,2025-01,F2 Taronga Zoo,Sgl Trip Ferry Adult,5042
1349,2025-01,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,3573
1350,2025-01,F2 Taronga Zoo,UNKNOWN,1
1351,2025-01,F3 Parramatta River,Adult,62555
1352,2025-01,F3 Parramatta River,CTP,96769
1353,2025-01,F3 Parramatta River,Child/Youth,19839
1354,2025-01,F3 Parramatta River,Concession,3126
1355,2025-01,F3 Parramatta River,Day Pass without SAF,5
1356,2025-01,F3 Parramatta River,Employee,1134
1357,2025-01,F3 Parramatta River,Free Travel,348
1358,2025-01,F3 Parramatta River,School Student,64
1359,2025-01,F3 Parramatta River,Senior/Pensioner,34950
1360,2025-01,F3 Parramatta River,Sgl Trip Ferry Adult,7332
1361,2025-01,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2886
1362,2025-01,F4 Pyrmont Bay,Adult,66790
1363,2025-01,F4 Pyrmont Bay,CTP,141486
1364,2025-01,F4 Pyrmont Bay,Child/Youth,34389
1365,2025-01,F4 Pyrmont Bay,Concession,3052
1366,2025-01,F4 Pyrmont Bay,Day Pass without SAF,16
1367,2025-01,F4 Pyrmont Bay,Employee,788
1368,2025-01,F4 Pyrmont Bay,Free Travel,297
1369,2025-01,F4 Pyrmont Bay,School Student,46
1370,2025-01,F4 Pyrmont Bay,Senior/Pensioner,31064
1371,2025-01,F4 Pyrmont Bay,Sgl Trip Ferry Adult,6482
1372,2025-01,F4 Pyrmont Bay,Sgl Trip Ferry Child/Youth,5430
1373,2025-01,F5 Neutral Bay,Adult,10296
1374,2025-01,F5 Neutral Bay,CTP,22234
1375,2025-01,F5 Neutral Bay,Child/Youth,1896
1376,2025-01,F5 Neutral Bay,Concession,760
1377,2025-01,F5 Neutral Bay,Day Pass without SAF,0
1378,2025-01,F5 Neutral Bay,Employee,160
1379,2025-01,F5 Neutral Bay,Free Travel,38
1380,2025-01,F5 Neutral Bay,School Student,7
1381,2025-01,F5 Neutral Bay,Senior/Pensioner,7341
1382,2025-01,F5 Neutral Bay,Sgl Trip Ferry Adult,440
1383,2025-01,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,290
1384,2025-01,F6 Mosman Bay,Adult,13923
1385,2025-01,F6 Mosman Bay,CTP,28491
1386,2025-01,F6 Mosman Bay,Child/Youth,2691
1387,2025-01,F6 Mosman Bay,Concession,937
1388,2025-01,F6 Mosman Bay,Day Pass without SAF,0
1389,2025-01,F6 Mosman Bay,Employee,156
1390,2025-01,F6 Mosman Bay,Free Travel,63
1391,2025-01,F6 Mosman Bay,School Student,5
1392,2025-01,F6 Mosman Bay,Senior/Pensioner,9901
1393,2025-01,F6 Mosman Bay,Sgl Trip Ferry Adult,702
1394,2025-01,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,535
1395,2025-01,F7 Double Bay,Adult,3979
1396,2025-01,F7 Double Bay,CTP,13053
1397,2025-01,F7 Double Bay,Child/Youth,928
1398,2025-01,F7 Double Bay,Concession,111
1399,2025-01,F7 Double Bay,Day Pass without SAF,0
1400,2025-01,F7 Double Bay,Employee,37
1401,2025-01,F7 Double Bay,Free Travel,12
1402,2025-01,F7 Double Bay,School Student,2
1403,2025-01,F7 Double Bay,Senior/Pensioner,3268
1404,2025-01,F7 Double Bay,Sgl Trip Ferry Adult,165
1405,2025-01,F7 Double Bay,Sgl Trip Ferry Child/Youth,82
1406,2025-01,F8 Cockatoo Island,Adult,10678
1407,2025-01,F8 Cockatoo Island,CTP,20134
1408,2025-01,F8 Cockatoo Island,Child/Youth,3429
1409,2025-01,F8 Cockatoo Island,Concession,598
1410,2025-01,F8 Cockatoo Island,Day Pass without SAF,0
1411,2025-01,F8 Cockatoo Island,Employee,136
1412,2025-01,F8 Cockatoo Island,Free Travel,56
1413,2025-01,F8 Cockatoo Island,School Student,8
1414,2025-01,F8 Cockatoo Island,Senior/Pensioner,7540
1415,2025-01,F8 Cockatoo Island,Sgl Trip Ferry Adult,412
1416,2025-01,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,288
1417,2025-01,F9 Watsons Bay,Adult,37944
1418,2025-01,F9 Watsons Bay,CTP,88834
1419,2025-01,F9 Watsons Bay,Child/Youth,11252
1420,2025-01,F9 Watsons Bay,Concession,1514
1421,2025-01,F9 Watsons Bay,Day Pass without SAF,0
1422,2025-01,F9 Watsons Bay,Employee,370
1423,2025-01,F9 Watsons Bay,Free Travel,117
1424,2025-01,F9 Watsons Bay,School Student,19
1425,2025-01,F9 Watsons Bay,Senior/Pensioner,17995
1426,2025-01,F9 Watsons Bay,Sgl Trip Ferry Adult,1769
1427,2025-01,F9 Watsons Bay,Sgl Trip Ferry Child/Youth,1019
1428,2025-02,118F Newcastle,Adult,6608
1429,2025-02,118F Newcastle,CTP,18164
1430,2025-02,118F Newcastle,Child/Youth,855
1431,2025-02,118F Newcastle,Concession,450
1432,2025-02,118F Newcastle,Day Pass without SAF,1
1433,2025-02,118F Newcastle,Employee,361
1434,2025-02,118F Newcastle,Free Travel,336
1435,2025-02,118F Newcastle,School Student,312
1436,2025-02,118F Newcastle,Senior/Pensioner,9958
1437,2025-02,F1 Manly,Adult,159470
1438,2025-02,F1 Manly,CTP,406863
1439,2025-02,F1 Manly,Child/Youth,22756
1440,2025-02,F1 Manly,Concession,10631
1441,2025-02,F1 Manly,Day Pass Child/Youth w/o SAF,1
1442,2025-02,F1 Manly,Day Pass without SAF,25
1443,2025-02,F1 Manly,Employee,2056
1444,2025-02,F1 Manly,Free Travel,660
1445,2025-02,F1 Manly,School Student,2836
1446,2025-02,F1 Manly,Senior/Pensioner,67627
1447,2025-02,F1 Manly,Sgl Trip Ferry Adult,9046
1448,2025-02,F1 Manly,Sgl Trip Ferry Child/Youth,3122
1449,2025-02,F1 Manly,UNKNOWN,13
1450,2025-02,F2 Taronga Zoo,Adult,28188
1451,2025-02,F2 Taronga Zoo,CTP,65542
1452,2025-02,F2 Taronga Zoo,Child/Youth,6100
1453,2025-02,F2 Taronga Zoo,Concession,1351
1454,2025-02,F2 Taronga Zoo,Day Pass without SAF,0
1455,2025-02,F2 Taronga Zoo,Employee,215
1456,2025-02,F2 Taronga Zoo,Free Travel,79
1457,2025-02,F2 Taronga Zoo,School Student,392
1458,2025-02,F2 Taronga Zoo,Senior/Pensioner,7584
1459,2025-02,F2 Taronga Zoo,Sgl Trip Ferry Adult,3158
1460,2025-02,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1146
1461,2025-02,F2 Taronga Zoo,UNKNOWN,1
1462,2025-02,F3 Parramatta River,Adult,56405
1463,2025-02,F3 Parramatta River,CTP,96322
1464,2025-02,F3 Parramatta River,Child/Youth,7935
1465,2025-02,F3 Parramatta River,Concession,3450
1466,2025-02,F3 Parramatta River,Day Pass without SAF,0
1467,2025-02,F3 Parramatta River,Employee,868
1468,2025-02,F3 Parramatta River,Free Travel,312
1469,2025-02,F3 Parramatta River,School Student,3774
1470,2025-02,F3 Parramatta River,Senior/Pensioner,33315
1471,2025-02,F3 Parramatta River,Sgl Trip Ferry Adult,5545
1472,2025-02,F3 Parramatta River,Sgl Trip Ferry Child/Youth,903
1473,2025-02,F3 Parramatta River,UNKNOWN,10
1474,2025-02,F4 Pyrmont Bay,Adult,47714
1475,2025-02,F4 Pyrmont Bay,CTP,110248
1476,2025-02,F4 Pyrmont Bay,Child/Youth,12675
1477,2025-02,F4 Pyrmont Bay,Concession,2736
1478,2025-02,F4 Pyrmont Bay,Day Pass without SAF,0
1479,2025-02,F4 Pyrmont Bay,Employee,616
1480,2025-02,F4 Pyrmont Bay,Free Travel,241
1481,2025-02,F4 Pyrmont Bay,School Student,1462
1482,2025-02,F4 Pyrmont Bay,Senior/Pensioner,24314
1483,2025-02,F4 Pyrmont Bay,Sgl Trip Ferry Adult,3587
1484,2025-02,F4 Pyrmont Bay,Sgl Trip Ferry Child/Youth,1545
1485,2025-02,F4 Pyrmont Bay,UNKNOWN,0
1486,2025-02,F5 Neutral Bay,Adult,10412
1487,2025-02,F5 Neutral Bay,CTP,25207
1488,2025-02,F5 Neutral Bay,Child/Youth,925
1489,2025-02,F5 Neutral Bay,Concession,1076
1490,2025-02,F5 Neutral Bay,Day Pass without SAF,0
1491,2025-02,F5 Neutral Bay,Employee,145
1492,2025-02,F5 Neutral Bay,Free Travel,63
1493,2025-02,F5 Neutral Bay,School Student,215
1494,2025-02,F5 Neutral Bay,Senior/Pensioner,8444
1495,2025-02,F5 Neutral Bay,Sgl Trip Ferry Adult,327
1496,2025-02,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,97
1497,2025-02,F5 Neutral Bay,UNKNOWN,0
1498,2025-02,F6 Mosman Bay,Adult,14086
1499,2025-02,F6 Mosman Bay,CTP,32144
1500,2025-02,F6 Mosman Bay,Child/Youth,1222
1501,2025-02,F6 Mosman Bay,Concession,1235
1502,2025-02,F6 Mosman Bay,Day Pass without SAF,0
1503,2025-02,F6 Mosman Bay,Employee,184
1504,2025-02,F6 Mosman Bay,Free Travel,102
1505,2025-02,F6 Mosman Bay,School Student,317
1506,2025-02,F6 Mosman Bay,Senior/Pensioner,11688
1507,2025-02,F6 Mosman Bay,Sgl Trip Ferry Adult,535
1508,2025-02,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,167
1509,2025-02,F6 Mosman Bay,UNKNOWN,0
1510,2025-02,F7 Double Bay,Adult,4182
1511,2025-02,F7 Double Bay,CTP,14597
1512,2025-02,F7 Double Bay,Child/Youth,332
1513,2025-02,F7 Double Bay,Concession,208
1514,2025-02,F7 Double Bay,Day Pass without SAF,0
1515,2025-02,F7 Double Bay,Employee,26
1516,2025-02,F7 Double Bay,Free Travel,23
1517,2025-02,F7 Double Bay,School Student,105
1518,2025-02,F7 Double Bay,Senior/Pensioner,3602
1519,2025-02,F7 Double Bay,Sgl Trip Ferry Adult,143
1520,2025-02,F7 Double Bay,Sgl Trip Ferry Child/Youth,36
1521,2025-02,F7 Double Bay,UNKNOWN,0
1522,2025-02,F8 Cockatoo Island,Adult,9933
1523,2025-02,F8 Cockatoo Island,CTP,20346
1524,2025-02,F8 Cockatoo Island,Child/Youth,2103
1525,2025-02,F8 Cockatoo Island,Concession,808
1526,2025-02,F8 Cockatoo Island,Day Pass without SAF,0
1527,2025-02,F8 Cockatoo Island,Employee,151
1528,2025-02,F8 Cockatoo Island,Free Travel,76
1529,2025-02,F8 Cockatoo Island,School Student,620
1530,2025-02,F8 Cockatoo Island,Senior/Pensioner,7608
1531,2025-02,F8 Cockatoo Island,Sgl Trip Ferry Adult,305
1532,2025-02,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,103
1533,2025-02,F8 Cockatoo Island,UNKNOWN,0
1534,2025-02,F9 Watsons Bay,Adult,32236
1535,2025-02,F9 Watsons Bay,CTP,84173
1536,2025-02,F9 Watsons Bay,Child/Youth,4875
1537,2025-02,F9 Watsons Bay,Concession,1606
1538,2025-02,F9 Watsons Bay,Day Pass without SAF,0
1539,2025-02,F9 Watsons Bay,Employee,255
1540,2025-02,F9 Watsons Bay,Free Travel,116
1541,2025-02,F9 Watsons Bay,School Student,688
1542,2025-02,F9 Watsons Bay,Senior/Pensioner,17679
1543,2025-02,F9 Watsons Bay,Sgl Trip Ferry Adult,1492
1544,2025-02,F9 Watsons Bay,Sgl Trip Ferry Child/Youth,377
1545,2025-02,F9 Watsons Bay,UNKNOWN,0
1546,2025-02,MFF Manly Fast Ferry,Adult,0
1547,2025-02,MFF Manly Fast Ferry,CTP,0
1548,2025-02,MFF Manly Fast Ferry,Child/Youth,0
1549,2025-02,MFF Manly Fast Ferry,Concession,0
1550,2025-02,MFF Manly Fast Ferry,Employee,0
1551,2025-02,MFF Manly Fast Ferry,Free Travel,0
1552,2025-02,MFF Manly Fast Ferry,School Student,0
1553,2025-02,MFF Manly Fast Ferry,Senior/Pensioner,0
1554,2025-02,MFF Manly Fast Ferry,Sgl Trip Ferry Adult,0
1555,2025-02,MFF Manly Fast Ferry,Sgl Trip Ferry Child/Youth,0
1556,2025-03,118F Newcastle,Adult,6187
1557,2025-03,118F Newcastle,CTP,17158
1558,2025-03,118F Newcastle,Child/Youth,864
1559,2025-03,118F Newcastle,Concession,621
1560,2025-03,118F Newcastle,Day Pass without SAF,3
1561,2025-03,118F Newcastle,Employee,248
1562,2025-03,118F Newcastle,Free Travel,311
1563,2025-03,118F Newcastle,School Student,308
1564,2025-03,118F Newcastle,Senior/Pensioner,9762
1565,2025-03,F1 Manly,Adult,159065
1566,2025-03,F1 Manly,CTP,414979
1567,2025-03,F1 Manly,Child/Youth,18106
1568,2025-03,F1 Manly,Concession,13444
1569,2025-03,F1 Manly,Day Pass without SAF,22
1570,2025-03,F1 Manly,Employee,1923
1571,2025-03,F1 Manly,Free Travel,628
1572,2025-03,F1 Manly,School Student,2945
1573,2025-03,F1 Manly,Senior/Pensioner,66935
1574,2025-03,F1 Manly,Sgl Trip Ferry Adult,8511
1575,2025-03,F1 Manly,Sgl Trip Ferry Child/Youth,3124
1576,2025-03,F2 Taronga Zoo,Adult,28423
1577,2025-03,F2 Taronga Zoo,CTP,71015
1578,2025-03,F2 Taronga Zoo,Child/Youth,5671
1579,2025-03,F2 Taronga Zoo,Concession,2193
1580,2025-03,F2 Taronga Zoo,Day Pass without SAF,0
1581,2025-03,F2 Taronga Zoo,Employee,202
1582,2025-03,F2 Taronga Zoo,Free Travel,82
1583,2025-03,F2 Taronga Zoo,School Student,479
1584,2025-03,F2 Taronga Zoo,Senior/Pensioner,8289
1585,2025-03,F2 Taronga Zoo,Sgl Trip Ferry Adult,3195
1586,2025-03,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1363
1587,2025-03,F3 Parramatta River,Adult,55375
1588,2025-03,F3 Parramatta River,CTP,96730
1589,2025-03,F3 Parramatta River,Child/Youth,6795
1590,2025-03,F3 Parramatta River,Concession,3584
1591,2025-03,F3 Parramatta River,Day Pass without SAF,6
1592,2025-03,F3 Parramatta River,Employee,883
1593,2025-03,F3 Parramatta River,Free Travel,290
1594,2025-03,F3 Parramatta River,School Student,3793
1595,2025-03,F3 Parramatta River,Senior/Pensioner,32340
1596,2025-03,F3 Parramatta River,Sgl Trip Ferry Adult,5924
1597,2025-03,F3 Parramatta River,Sgl Trip Ferry Child/Youth,890
1598,2025-03,F4 Pyrmont Bay,Adult,47135
1599,2025-03,F4 Pyrmont Bay,CTP,111051
1600,2025-03,F4 Pyrmont Bay,Child/Youth,10682
1601,2025-03,F4 Pyrmont Bay,Concession,2803
1602,2025-03,F4 Pyrmont Bay,Day Pass without SAF,3
1603,2025-03,F4 Pyrmont Bay,Employee,594
1604,2025-03,F4 Pyrmont Bay,Free Travel,242
1605,2025-03,F4 Pyrmont Bay,School Student,1626
1606,2025-03,F4 Pyrmont Bay,Senior/Pensioner,25674
1607,2025-03,F4 Pyrmont Bay,Sgl Trip Ferry Adult,3595
1608,2025-03,F4 Pyrmont Bay,Sgl Trip Ferry Child/Youth,1447
1609,2025-03,F5 Neutral Bay,Adult,10760
1610,2025-03,F5 Neutral Bay,CTP,27417
1611,2025-03,F5 Neutral Bay,Child/Youth,840
1612,2025-03,F5 Neutral Bay,Concession,1255
1613,2025-03,F5 Neutral Bay,Day Pass without SAF,1
1614,2025-03,F5 Neutral Bay,Employee,140
1615,2025-03,F5 Neutral Bay,Free Travel,51
1616,2025-03,F5 Neutral Bay,School Student,290
1617,2025-03,F5 Neutral Bay,Senior/Pensioner,8418
1618,2025-03,F5 Neutral Bay,Sgl Trip Ferry Adult,321
1619,2025-03,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,117
1620,2025-03,F6 Mosman Bay,Adult,14140
1621,2025-03,F6 Mosman Bay,CTP,34390
1622,2025-03,F6 Mosman Bay,Child/Youth,1128
1623,2025-03,F6 Mosman Bay,Concession,1754
1624,2025-03,F6 Mosman Bay,Day Pass without SAF,0
1625,2025-03,F6 Mosman Bay,Employee,210
1626,2025-03,F6 Mosman Bay,Free Travel,78
1627,2025-03,F6 Mosman Bay,School Student,353
1628,2025-03,F6 Mosman Bay,Senior/Pensioner,12375
1629,2025-03,F6 Mosman Bay,Sgl Trip Ferry Adult,439
1630,2025-03,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,230
1631,2025-03,F7 Double Bay,Adult,3988
1632,2025-03,F7 Double Bay,CTP,15066
1633,2025-03,F7 Double Bay,Child/Youth,302
1634,2025-03,F7 Double Bay,Concession,175
1635,2025-03,F7 Double Bay,Day Pass without SAF,0
1636,2025-03,F7 Double Bay,Employee,12
1637,2025-03,F7 Double Bay,Free Travel,16
1638,2025-03,F7 Double Bay,School Student,126
1639,2025-03,F7 Double Bay,Senior/Pensioner,3707
1640,2025-03,F7 Double Bay,Sgl Trip Ferry Adult,119
1641,2025-03,F7 Double Bay,Sgl Trip Ferry Child/Youth,26
1642,2025-03,F8 Cockatoo Island,Adult,10312
1643,2025-03,F8 Cockatoo Island,CTP,21533
1644,2025-03,F8 Cockatoo Island,Child/Youth,2803
1645,2025-03,F8 Cockatoo Island,Concession,807
